Greeting, how are you doing?
Greeting, how are you?
Greeting, whats up?
Greeting, how is it going?
Greeting, how is everything going?
Greeting, Good to see you.
Greeting, What is new?
Greeting, howdie!
Greeting, Long time no see!
Greeting, how is your day?
InformationRetrieval, What is bluetooth?
InformationRetrieval, Where is the battery located?
InformationRetrieval, My paper is jammed!
InformationRetrieval, "The printing is off, what to do?"
InformationRetrieval, How can I change the settings?
InformationRetrieval, "What's the creep and bleed?"
InformationRetrieval, "What about paper stock?"
InformationRetrieval, "Is Offset Printing an Option?"
InformationRetrieval, "How do I interrupt and then resume a print job?"
InformationRetrieval, "How do I print labels on cut-sheet paper?"
Farewell, ciao!
Farewell, See you
Farewell, bye
Farewell, see you next time
Farewell, see you around
Farewell, I am off
Farewell, bye bye
